Headline,Description,Manufacturer,Model,Part Number,Price,Quantity
"CHEROKEE PE1938/01U 941501938011. PHILIPS","CHEROKEE PE1938/01U 941501938011. PHILIPS","PHILIPS","","PE1938","0","1"
"32-CHANNEL 5180634 REROUTE BOX . MR450","32-CHANNEL 5180634 REROUTE BOX . MR450","GE","","5180634","0","1"
" medical systems PCB with part numbers 453567176401 and 313876 and serial number 106501676."," medical systems PCB with part numbers 453567176401 and 313876 and serial number 106501676.","","","453567176401","0","1"
"This Siemens medical part number 6GF6221-2CB17.. GE","This Siemens medical part number 6GF6221-2CB17.. GE","GE","","5128455-3","0","1"
"5964213 DCM. HICOR","5964213 DCM. HICOR","SIEMENS","","5964213","0","1"
"circuit board with various electronic components and connectors, featuring a \Bellnix\  DC-DC converter and part numbers like \ YWM1380B PX14-65471\  and \ NX14-0013\ .px14-65471 . TOSHIBA","circuit board with various electronic components and connectors, featuring a \Bellnix\  DC-DC converter and part numbers like \ YWM1380B PX14-65471\  and \ NX14-0013\ .px14-65471 . TOSHIBA","TOSHIBA","","PX14-65471","0","1"
"D1 CPU BOARD. SIEMENS","D1 CPU BOARD. SIEMENS","SIEMENS","","D1 CPU BOARD","0","1"
"Nemoto medical equipment display screen, with a visible contact phone number 0120-88-3981.. Nemoto","Nemoto medical equipment display screen, with a visible contact phone number 0120-88-3981.. Nemoto","Nemoto","","0120-88-3981","0","1"
"ION CHAMBER SIEMENS YISO 07006856. SIEMENS MIRA","ION CHAMBER SIEMENS YISO 07006856. SIEMENS MIRA","SIEMENS","","7006856","0","1"
"4387325 3520777. SIEMENS","4387325 3520777. SIEMENS","SIEMENS","","4387325","0","1"
"This is a 'Big Bore' MRI part with the visible part number 'BWA46'.. PHILIPS","This is a 'Big Bore' MRI part with the visible part number 'BWA46'.. PHILIPS","PHILIPS","","","0","1"
"PHILIPS MEDICAL SYSTEMS Left Mother Board, part number 455014108032.. PHILIPS","PHILIPS MEDICAL SYSTEMS Left Mother Board, part number 455014108032.. PHILIPS","PHILIPS","","PHILIPS","0","1"
"CPC RF Amplifier with a model number of 3T4KMP and customer part number 453567077981.. ACHIEVA 3T","CPC RF Amplifier with a model number of 3T4KMP and customer part number 453567077981.. ACHIEVA 3T","PHILIPS","","453567077981","0","1"
"46-288386 DHM. DLS4","46-288386 DHM. DLS4","GE","","46-288386","0","1"
"This HP Transition Module has part numbers 2295981 and 2295982 Rev B, and 06-01668770-100.. HP","This HP Transition Module has part numbers 2295981 and 2295982 Rev B, and 06-01668770-100.. HP","GE","","2295981","0","1"
"SIEMENS IRS2-AQP, IRS2 AQP, with part number 7394658 K1616 and model number 6BK1000-0WA01-0AA0. Name is IRS2AGP. SIEMENS","SIEMENS IRS2-AQP, IRS2 AQP, with part number 7394658 K1616 and model number 6BK1000-0WA01-0AA0. Name is IRS2AGP. SIEMENS","SIEMENS","","7394658","0","1"
"2795776 D50. SIEMENS","2795776 D50. SIEMENS","SIEMENS","","2795776","0","1"
"This Siemens spare part has a model number of 08365970 and a serial number of 3793.. PHILIPS","This Siemens spare part has a model number of 08365970 and a serial number of 3793.. PHILIPS","PHILIPS","","8365970","0","1"
"This Siemens board has the part number S26361-D1303-A100 GS3.. SIEMENS","This Siemens board has the part number S26361-D1303-A100 GS3.. SIEMENS","SIEMENS","","S26361-D1303-A100","0","1"
"Philips MRI medical equipment part with the visible part number 4522 150 43471.. ACHIEVA 3T","Philips MRI medical equipment part with the visible part number 4522 150 43471.. ACHIEVA 3T","PHILIPS","","452215043471","0","1"
"The image shows various medical equipment parts stored on shelving, including electronic components and power supplies, with a visible handwritten part label '1050'.","The image shows various medical equipment parts stored on shelving, including electronic components and power supplies, with a visible handwritten part label '1050'.","","","1050","0","1"
"has ANODE INVERTER 45435960. GE","has ANODE INVERTER 45435960. GE","GE","","45435960","0","1"
"36004779 628 019 B. GE","36004779 628 019 B. GE","GE","","36004779","0","1"
"This is an LTI DRIVES power supply module, part number CDE34.017,W2.4, with a visible serial number 131700721.. SIEMENS","This is an LTI DRIVES power supply module, part number CDE34.017,W2.4, with a visible serial number 131700721.. SIEMENS","SIEMENS","","CDE34.017","0","1"
"This SBS Technologies board, part number 85224055 23-500-2, features multiple expansion slots and an Intel processor.","This SBS Technologies board, part number 85224055 23-500-2, features multiple expansion slots and an Intel processor.","","","85224055","0","1"
"POWER BRUSH 6077011000. GE","POWER BRUSH 6077011000. GE","GE","","6077011000","0","1"
"  a medical equipment power control board with assembly number 00-878003.","  a medical equipment power control board with assembly number 00-878003.","","","00-878003","0","1"
"PHILIPS Medical Systems Bareboard, part number 4535 670 13401 REV A, identified as R2D Assembly 4535 670 13371 REV.. PHILIPS","PHILIPS Medical Systems Bareboard, part number 4535 670 13401 REV A, identified as R2D Assembly 4535 670 13371 REV.. PHILIPS","PHILIPS","","453567013401","0","1"
"FO CABLE 224105L. SIEMENS","FO CABLE 224105L. SIEMENS","SIEMENS","","224105L","0","1"
"7716900 7716918 HV TANK. ARTIS ZEE","7716900 7716918 HV TANK. ARTIS ZEE","SIEMENS","","7716900","0","1"
"VCISSCSI 452210822305. ALLURA 15","VCISSCSI 452210822305. ALLURA 15","PHILIPS","","452210822305","0","1"
"BODINE Gearmotor, part number L5K0057G0023, rated at 1/3 HP.","BODINE Gearmotor, part number L5K0057G0023, rated at 1/3 HP.","","","L5K0057G0023","0","1"
"DRV03D 113Y1233. FUJI","DRV03D 113Y1233. FUJI","FUJI","","113Y1233","0","1"
"451210808003  POWER ON CIRCUIT BOARD. ELEVA MD","451210808003  POWER ON CIRCUIT BOARD. ELEVA MD","PHILIPS","","451210808003","0","1"
"ENCODER DIGITAL H5D-1024. MX8000 exp","ENCODER DIGITAL H5D-1024. MX8000 exp","PHILIPS","","H5D-1024","0","1"
"12ÏI PS CELESTICA AP0848 46-184742P6. GE","12ÏI PS CELESTICA AP0848 46-184742P6. GE","GE","","46-184742P6","0","1"
"BOAMPV RR6RR220305 YN4015-S12. APERTO","BOAMPV RR6RR220305 YN4015-S12. APERTO","HITACHI","","RR6RR220305 ","0","1"
"This is a COSEL LDA10F-12 power supply module, designed for AC100-240V input with part number LDA10F-12.. TOSHIBA","This is a COSEL LDA10F-12 power supply module, designed for AC100-240V input with part number LDA10F-12.. TOSHIBA","TOSHIBA","","LDA10F-12 ","0","1"
"5220087 FD. ARTIS FA","5220087 FD. ARTIS FA","SIEMENS","","5220087","0","1"
"PORT TERMINAL SERVER TS4 Digi PortServer TS 4 GEH, part number (1P)50000836-44 E. GE","PORT TERMINAL SERVER TS4 Digi PortServer TS 4 GEH, part number (1P)50000836-44 E. GE","GE","","50000836-44","0","1"
"Flash CT DAS Controller P44, with a model number 10023401.. SIEMENS","Flash CT DAS Controller P44, with a model number 10023401.. SIEMENS","SIEMENS","","10023401","0","1"
"AG20 SBB 452210821163. ALLURA 15","AG20 SBB 452210821163. ALLURA 15","PHILIPS","","452210821163","0","1"
"2205263C 800 PL6 TUBE HOUSING. GE","2205263C 800 PL6 TUBE HOUSING. GE","GE","","2205263C","0","1"
"VICOR FLATPAC power supply module, model number VI-RUTTO-EVVU, providing multiple voltage outputs.. PHILIPS","VICOR FLATPAC power supply module, model number VI-RUTTO-EVVU, providing multiple voltage outputs.. PHILIPS","PHILIPS","","VI-RUTTO-EVVU","0","1"
"-01REV50","-01REV50","","","","0","1"
"E-G021-02-0707(B) Intel Pro/1000 LAN Card. ICS TOWER 5","E-G021-02-0707(B) Intel Pro/1000 LAN Card. ICS TOWER 5","SIEMENS","","E-G021-02-0707","0","1"
"MRC 200 0508 ROT 1003 MADE IN MARCH 2013. PHILIPS FD10","MRC 200 0508 ROT 1003 MADE IN MARCH 2013. PHILIPS FD10","PHILIPS ","","MRC 200 0508","0","1"
"LSQV-8-DAS AN7858SH. SHIMADZU","LSQV-8-DAS AN7858SH. SHIMADZU","SHIMADZU","","LSQV-8-DAS","0","1"
"CALIBRATION KIT with the part number 2254348 . GE","CALIBRATION KIT with the part number 2254348 . GE","GE","","2254348","0","1"
"LAMBDA MXB-13100-33. HDE","LAMBDA MXB-13100-33. HDE","GE","","MXB-13100-33","0","1"
"DELL Laptop part, evidenced by multiple DELL labels and part numbers, including serial number GWPZ82J.. DELL","DELL Laptop part, evidenced by multiple DELL labels and part numbers, including serial number GWPZ82J.. DELL","DELL","","GWPZ82J","0","1"
"SBS TECHNOLOGIES 85154556. PHILIPS","SBS TECHNOLOGIES 85154556. PHILIPS","PHILIPS","","85154556","0","1"
"This Siemens medical equipment part is a circuit board with part number 48 18 774 X2122 D75 E1 and a label indicating S76 JD 9236.. SIEMENS","This Siemens medical equipment part is a circuit board with part number 48 18 774 X2122 D75 E1 and a label indicating S76 JD 9236.. SIEMENS","SIEMENS","","4818774","0","1"
"45562689 629 022 B. GE","45562689 629 022 B. GE","GE","","45562689","0","1"
"Pulsemaster board Pulsemaster board 4522127025513/452210532683. PHILIPS","Pulsemaster board Pulsemaster board 4522127025513/452210532683. PHILIPS","PHILIPS","","4522127025513","0","1"
"405566-012 405794-012 ANODE POWER MODULE. BRILLIANCE 16","405566-012 405794-012 ANODE POWER MODULE. BRILLIANCE 16","PHILIPS","","405566-012","0","1"
"SIEMENS X-Ray Filters TCO-B, with Model No. 10430701.. SIEMENS Flash","SIEMENS X-Ray Filters TCO-B, with Model No. 10430701.. SIEMENS Flash","SIEMENS","","10430701","0","1"
"D400  Board, part number 74 63 644 X2246 D440 E3.","D400  Board, part number 74 63 644 X2246 D440 E3.","","","7463644","0","1"
"HK100A-24/A TDK POWER SUPPLY. APERTO","HK100A-24/A TDK POWER SUPPLY. APERTO","HITACHI","","HK100A-24","0","1"
"6242809 D6. SIEMENS","6242809 D6. SIEMENS","SIEMENS","","6242809","0","1"
"1110803 POLYDOROS80 CONSOLE. SIEMENS","1110803 POLYDOROS80 CONSOLE. SIEMENS","SIEMENS","","1110803","0","1"
"This Canon BLA-800A beam limiting device (X-Ray Collimator) is marked with serial number 99M2073921.. TOSHIBA","This Canon BLA-800A beam limiting device (X-Ray Collimator) is marked with serial number 99M2073921.. TOSHIBA","TOSHIBA","","BLA-800A","0","1"
"5212920-150 GOC6.6 WITH Z800 DEC/2013. VCT","5212920-150 GOC6.6 WITH Z800 DEC/2013. VCT","GE","","5212920-150","0","1"
"989600035622 TABLE SIDE JOYSTICK. ALLURA 15","989600035622 TABLE SIDE JOYSTICK. ALLURA 15","PHILIPS","","989600035622","0","1"
"09-00488-2 PM 336FLASH HC. SIEMENS","09-00488-2 PM 336FLASH HC. SIEMENS","SIEMENS","","09-00488-2","0","1"
"M044KR02 SD033-301A. KONICA","M044KR02 SD033-301A. KONICA","KONICA","","M044KR02","0","1"
"circuit board with part numbers TFC0327J72031 and QLA2200F/33 visible.. TOSHIBA AQUILION","circuit board with part numbers TFC0327J72031 and QLA2200F/33 visible.. TOSHIBA AQUILION","TOSHIBA ","","TFC0327J72031 ","0","1"
"CHEETA 15K.5 ST3300655SS HDD FOR EMOTION 16 ICS 1(TOWER 7 OR UP). EMOTION 16","CHEETA 15K.5 ST3300655SS HDD FOR EMOTION 16 ICS 1(TOWER 7 OR UP). EMOTION 16","SIEMENS","","ST3300655SS ","0","1"
"Aquillion CT gantry amber warning light with associated wiring and the part number is PATLITE.. Aquilion","Aquillion CT gantry amber warning light with associated wiring and the part number is PATLITE.. Aquilion","TOSHIBA","","PATLITE","0","1"
"Philips X-Ray Tube Housing Assembly, model MRC 200 0508 ROT-GS 1003, part number 9890 000 85143. Manufactured May 2018. PHILIPS","Philips X-Ray Tube Housing Assembly, model MRC 200 0508 ROT-GS 1003, part number 9890 000 85143. Manufactured May 2018. PHILIPS","PHILIPS","","989000085143","0","1"
"Innova 4100 medical equipment circuit board with connectors J704 and J705, part number 2342475 REV.004 and other part number 0710043.. GE","Innova 4100 medical equipment circuit board with connectors J704 and J705, part number 2342475 REV.004 and other part number 0710043.. GE","GE","","2342475","0","1"
"TIP COMPACTPCI BOARD. APERTO","TIP COMPACTPCI BOARD. APERTO","HITACHI","","COMPACTPCI ","0","1"
"PB13 DHIRES Board PB13 DHIRES Board 452216700635(452216603252). PHILIPS","PB13 DHIRES Board PB13 DHIRES Board 452216700635(452216603252). PHILIPS","PHILIPS","","452216700635","0","1"
"This is an MRI part, likely a resistor assembly with Beryllium Oxide manufactured by Kontrole, featuring part number 4522 132 34661 and serial number 000000.. KONTROLE","This is an MRI part, likely a resistor assembly with Beryllium Oxide manufactured by Kontrole, featuring part number 4522 132 34661 and serial number 000000.. KONTROLE","PHILIPS","","452213234661","0","1"
"PM30-23389 FIL/CORR MOD. TOSHIBA","PM30-23389 FIL/CORR MOD. TOSHIBA","TOSHIBA","","PM30-23389","0","1"
"This medical equipment part includes a power switch, fuse holder, and a part number FCAX1.. PHILIPS","This medical equipment part includes a power switch, fuse holder, and a part number FCAX1.. PHILIPS","PHILIPS","","FCAX1","0","1"
"Table part. SHINKO Electric clutch and brake assembly with part number NC/SBR-120-02 and 12N2101.. TOSHIBA","Table part. SHINKO Electric clutch and brake assembly with part number NC/SBR-120-02 and 12N2101.. TOSHIBA","TOSHIBA","","NC/SBR-120-02","0","1"
"This is a metal shelving upright with a label 'E 1', potentially used for storage of medical equipment parts.","This is a metal shelving upright with a label 'E 1', potentially used for storage of medical equipment parts.","","","","0","1"
"This is an HP Transition Module with part number 2295981 and PCB number 2295982 REV B.. HP","This is an HP Transition Module with part number 2295981 and PCB number 2295982 REV B.. HP","SIEMENS","","2295981","0","1"
"PMC-CAN/331-2 POWER PC BD. INFX-8000C/DFP-8000A","PMC-CAN/331-2 POWER PC BD. INFX-8000C/DFP-8000A","TOSHIBA","","PMC-CAN","0","1"
"SUPERMICRO motherboard, model 5DA8 REV 1.21, designed for use in a computer, featuring numerous PCI slots and an Intel chipset.. SUPERMICRO","SUPERMICRO motherboard, model 5DA8 REV 1.21, designed for use in a computer, featuring numerous PCI slots and an Intel chipset.. SUPERMICRO","PHILIPS","","5DA8 REV 1.21","0","1"
"46-321384G4. GE","46-321384G4. GE","GE","","46-321384G4","0","1"
"This Siemens component is marked with model number 8901410 REV02 and serial number 3755, manufactured in Germany.. SIEMENS Flash","This Siemens component is marked with model number 8901410 REV02 and serial number 3755, manufactured in Germany.. SIEMENS Flash","SIEMENS","","8901410","0","1"
"36006848 A. DMR","36006848 A. DMR","GE","","36006848","0","1"
"2193907 FO cable. GE","2193907 FO cable. GE","GE","","2193907","0","1"
"6611500 REV 2 CABLE. GE","6611500 REV 2 CABLE. GE","GE","","6611500","0","1"
"453567977701 REV B. GEMINI TF","453567977701 REV B. GEMINI TF","PHILIPS","","453567977701","0","1"
"REV H 3DBP PCB. BR CONSOLE","REV H 3DBP PCB. BR CONSOLE","PHILIPS","","3DBP","0","1"
"Siemens medical equipment part with model number 8901402 REV02.. SIEMENS Flash","Siemens medical equipment part with model number 8901402 REV02.. SIEMENS Flash","SIEMENS","","8901402","0","1"
"This is an X-Ray Unit Digital KV MA Control board with part number 4512-178-00876.. PHILIPS","This is an X-Ray Unit Digital KV MA Control board with part number 4512-178-00876.. PHILIPS","PHILIPS","","451217800876","0","1"
"medical equipment circuit board, possibly for data acquisition or control, with part number PX79-24252 visible.. TOSHIBA","medical equipment circuit board, possibly for data acquisition or control, with part number PX79-24252 visible.. TOSHIBA","TOSHIBA","","PX79-24252","0","1"
"MEGALIX CAT 125/15/40/80-121GW NOV 2015 5764522. ARTIS DBA","MEGALIX CAT 125/15/40/80-121GW NOV 2015 5764522. ARTIS DBA","SIEMENS","","125/15/40/80-121GW","0","1"
"453567026131 IN 453567402561 REV C 7100 PCB 453567026141 REV B . BRILIANCE 64","453567026131 IN 453567402561 REV C 7100 PCB 453567026141 REV B . BRILIANCE 64","PHILIPS","","453567026131","0","1"
"NRA-U250SA-TM 2 HDD ASSYS. MCX13-07 BACLBOARD","NRA-U250SA-TM 2 HDD ASSYS. MCX13-07 BACLBOARD","SIEMENS","","NRA-U250SA-TM","0","1"
"This is an Adaptec 2Port medical equipment part with part numbers 10600272867, ANA62022AC-MED and FAB 1719507-00 REV A.. Adaptec","This is an Adaptec 2Port medical equipment part with part numbers 10600272867, ANA62022AC-MED and FAB 1719507-00 REV A.. Adaptec","SIEMENS","","10600272867","0","1"
" CMC Cleveland Motion Controls PM Servo Motor, model number MT3528-312DG, certified to have passed GE medical specifications."," CMC Cleveland Motion Controls PM Servo Motor, model number MT3528-312DG, certified to have passed GE medical specifications.","","","MT3528-312DG","0","1"
"SIEMENS part, model number BB2 IAS.. SIEMENS","SIEMENS part, model number BB2 IAS.. SIEMENS","SIEMENS","","BB2 IAS","0","1"
"CS-12-1 VALVE. LIGHSPEED RT 16","CS-12-1 VALVE. LIGHSPEED RT 16","GE","","CS-12-1","0","1"
"F8.5120.1125.0A NANOTEC 4H5618C0408 3.95V STEPPING MOTOR. COMPACT","F8.5120.1125.0A NANOTEC 4H5618C0408 3.95V STEPPING MOTOR. COMPACT","AGFA","","F8.5120.1125.0A NANOTEC 4H5618C0408 3.95V STEPPING MOTOR","0","1"
"2145691 BD. GE","2145691 BD. GE","GE","","2145691","0","1"
"ARTIS ZEE SOFTWARE CDS. ARTIS ZEE","ARTIS ZEE SOFTWARE CDS. ARTIS ZEE","SIEMENS","","","0","1"
"2354133 2354132 Balance Sensor Buffer. LIGHSPEED RT 16","2354133 2354132 Balance Sensor Buffer. LIGHSPEED RT 16","GE","","2354133","0","1"
"medical equipment part with part number 453567408642 REV B and 11432118.. PHILIPS","medical equipment part with part number 453567408642 REV B and 11432118.. PHILIPS","PHILIPS","","453567408642","0","1"
"Gantry Color LCD Monitor Tecnart Color LCD Monitor, model TM121-TMN15, with part number BSX77-5512* B.. TECNART CO.,LTD.","Gantry Color LCD Monitor Tecnart Color LCD Monitor, model TM121-TMN15, with part number BSX77-5512* B.. TECNART CO.,LTD.","TOSHIBA","","TM121-TMN15","0","1"
"SANMINA manufactured printed circuit board for an unidentified medical equipment, potentially an HP system, with visible part number 3288-P284-P6 41-02.. HP","SANMINA manufactured printed circuit board for an unidentified medical equipment, potentially an HP system, with visible part number 3288-P284-P6 41-02.. HP","GE",""," 3288-P284-P6 41-02","0","1"
"This is a collimator control board with part number FYWM0592*A and barcode 00139X14.. TOSHIBA","This is a collimator control board with part number FYWM0592*A and barcode 00139X14.. TOSHIBA","TOSHIBA","","FYWM0592","0","1"
"526340005 REV A 7395200 RECEIVER. SENSATION 16","526340005 REV A 7395200 RECEIVER. SENSATION 16","SEIMENS","","526340005","0","1"
"PHILIPS medical equipment part, possibly related to imaging, with part numbers P/N:453567533573 REV C and G4-VS501 4535 675 33572 REV E.. PHILIPS","PHILIPS medical equipment part, possibly related to imaging, with part numbers P/N:453567533573 REV C and G4-VS501 4535 675 33572 REV E.. PHILIPS","PHILIPS","","453567533573","0","1"
"ST32171N HD PLUS 4. SEAGATE","ST32171N HD PLUS 4. SEAGATE","SIEMENS","","ST32171N","0","1"
"4779141 TABLE EXTENSION. EMOTION 6","4779141 TABLE EXTENSION. EMOTION 6","SIEMENS","","4779141","0","1"
"GE CT system circuit board, likely an acquisition or interface board, with part numbers 5124064 including 01-W3394 and serial number S/N FX35596 and 01-W1946B01A.. GE","GE CT system circuit board, likely an acquisition or interface board, with part numbers 5124064 including 01-W3394 and serial number S/N FX35596 and 01-W1946B01A.. GE","GE","","5124064","0","1"
"46-264468G4 XRII/IRIS CONTROL. GE ADVANTIX","46-264468G4 XRII/IRIS CONTROL. GE ADVANTIX","GE ","","46-264468G4","0","1"
"DLX SUN SPARCSERVER 4. GE","DLX SUN SPARCSERVER 4. GE","GE","","DLX","0","1"
"8417136 R05 7825859. SYMBIAT2","8417136 R05 7825859. SYMBIAT2","SIEMENS","","8417136","0","1"
"SH5618C2908-KAGF5 STEPPING MOTOR. TOSHIBA","SH5618C2908-KAGF5 STEPPING MOTOR. TOSHIBA","TOSHIBA","","SH5618C2908-KAGF5","0","1"
"HEAT-4 PR1178102. APERTO","HEAT-4 PR1178102. APERTO","HITACHI","","PR1178102","0","1"
"200181 DETECOT BOARD. PHILIPS","200181 DETECOT BOARD. PHILIPS","PHILIPS","","200181","0","1"
"2159-5025 BY PHILIPS NUCMED. PRECEDENCE","2159-5025 BY PHILIPS NUCMED. PRECEDENCE","PHILIPS ","","2159-5025","0","1"
"190P7ES01 LCD. MX8000","190P7ES01 LCD. MX8000","PHILIPS","","190P7ES01","0","1"
"This medical equipment part appears to be a circuit board with part numbers 4229633, 01-W2184F01A, 85912462.. GE EXCITE","This medical equipment part appears to be a circuit board with part numbers 4229633, 01-W2184F01A, 85912462.. GE EXCITE","GE ","","4229633","0","1"
"2128727 0.5T SPINE. GE","2128727 0.5T SPINE. GE","GE","","2128727","0","1"
"HK50A-15/A POWER SUPPLY. GE PROFILE III","HK50A-15/A POWER SUPPLY. GE PROFILE III","GE ","","HK50A-15","0","1"
"2795677 D301. SIEMENS","2795677 D301. SIEMENS","SIEMENS","","2795677","0","1"
"3791444. SIEMENS","3791444. SIEMENS","SIEMENS","","3791444","0","1"
"PS KOMPAKT-ANBAU KA283N12BU10UL. KOMPAKT-ANBAU","PS KOMPAKT-ANBAU KA283N12BU10UL. KOMPAKT-ANBAU","SIEMENS","","KOMPAKT-ANBAU","0","1"
"OPROC PB10 BD OPROC PB10 BD 989601011421(452216700643). PHILIPS","OPROC PB10 BD OPROC PB10 BD 989601011421(452216700643). PHILIPS","PHILIPS","","989601011421","0","1"
"RADISYS SBC486/166SE 068-01747-0001 452210822361. ALLURA 15","RADISYS SBC486/166SE 068-01747-0001 452210822361. ALLURA 15","PHILIPS","","452210822361","0","1"
"SOFTWARE. 2000D","SOFTWARE. 2000D","GE","","","0","1"
"950630 BRUSH. GE","950630 BRUSH. GE","GE","","950630","0","1"
"BIG BORETelemecanique Altivar ATV12H075M2 0.75kW-1HP variable frequency drive (VFD) with a DMR250813 part number.. PHILIPS","BIG BORETelemecanique Altivar ATV12H075M2 0.75kW-1HP variable frequency drive (VFD) with a DMR250813 part number.. PHILIPS","PHILIPS","","ATV12H075M2 ","0","1"
"45221081576 VISUB. PHILIPS VISUB","45221081576 VISUB. PHILIPS VISUB","PHILIPS ","","45221081576","0","1"
"MP1-3C-3G-1G-00 ASTEC PN 73-690-0550 PS. GEMINI TF","MP1-3C-3G-1G-00 ASTEC PN 73-690-0550 PS. GEMINI TF","PHILIPS","","MP1-3C-3G-1G-00","0","1"
" circuit board with a part number of 07129575 and includes an Altera MAX EPM7256SRC208-7N FPGA and Analog Devices ADS7842 chip; additional markings include 01W3 26177, 01W3 26110, and 01W3 26135."," circuit board with a part number of 07129575 and includes an Altera MAX EPM7256SRC208-7N FPGA and Analog Devices ADS7842 chip; additional markings include 01W3 26177, 01W3 26110, and 01W3 26135.","","","7129575","0","1"
"2799265 D10. SIEMENS","2799265 D10. SIEMENS","SIEMENS","","2799265","0","1"
"MHR-DP component features RJ1 and RJ5 ports on a circuit board with heatsinks.. TOSHIBA","MHR-DP component features RJ1 and RJ5 ports on a circuit board with heatsinks.. TOSHIBA","TOSHIBA","","MHR-DP","0","1"
"DHM BOARD. part number of 46-288387P1 REV 0.. GE","DHM BOARD. part number of 46-288387P1 REV 0.. GE","GE","","46-288387P1 ","0","1"
"MR-QKC-83 KNEE COIL. APERTO","MR-QKC-83 KNEE COIL. APERTO","HITACHI","","MR-QKC-83","0","1"
"Combo Board Combo Board 452212703019(452210534322). PHILIPS","Combo Board Combo Board 452212703019(452210534322). PHILIPS","PHILIPS","","452212703019","0","1"
"45221082146 VISUB. PHILIPS VISUB","45221082146 VISUB. PHILIPS VISUB","PHILIPS ","","45221082146","0","1"
"452216700932 TVC. PHILIP H5000","452216700932 TVC. PHILIP H5000","PHILIPS","","452216700932","0","1"
"Silicon Graphics Octane2 workstation, likely used with a GE Lightspeed CT scanner, featuring model number CMN 015 and part number CMNB015A.. SGI","Silicon Graphics Octane2 workstation, likely used with a GE Lightspeed CT scanner, featuring model number CMN 015 and part number CMNB015A.. SGI","GE","","CMNB015A","0","1"
"113Y7047 DRV08A. FUJI FCR","113Y7047 DRV08A. FUJI FCR","FUJI","","113Y7047","0","1"
"SCHLEIFRING BRUSH 530002631 522300003. EMOTION 6","SCHLEIFRING BRUSH 530002631 522300003. EMOTION 6","SIEMENS","","530002631","0","1"
"medical equipment circuit board with visible part numbers including RT987-5000-2 and NX17-0014.. TOSHIBA","medical equipment circuit board with visible part numbers including RT987-5000-2 and NX17-0014.. TOSHIBA","TOSHIBA","","RT987-5000-2","0","1"
"8962904 D29. SIEMENS","8962904 D29. SIEMENS","SIEMENS","","8962904","0","1"
"GEMINI Superior Electric SLO-SYN synchronous motor, part number TYPESS241LG3.. PHILIPS","GEMINI Superior Electric SLO-SYN synchronous motor, part number TYPESS241LG3.. PHILIPS","PHILIPS","","TYPESS241LG3","0","1"
"CONTROL ROOM CONSOLE. SIEMENS","CONTROL ROOM CONSOLE. SIEMENS","SIEMENS","","","0","1"
"GEMINI Nuclear Medicine PIB (PCB-PIB) board with part number 4535 679 29551.. PHILIPS","GEMINI Nuclear Medicine PIB (PCB-PIB) board with part number 4535 679 29551.. PHILIPS","PHILIPS","","453567929551","0","1"
"This BENNING power supply, model NT 107 with serial number SN4699583 B 33005, provides DC output voltages of +5V, +15V, and -15V, and has a part number of 1388073.","This BENNING power supply, model NT 107 with serial number SN4699583 B 33005, provides DC output voltages of +5V, +15V, and -15V, and has a part number of 1388073.","","","NT 107","0","1"
"Switch On/Off Board Switch On/Off Board 452212702532(452210532662). PHILIPS","Switch On/Off Board Switch On/Off Board 452212702532(452210532662). PHILIPS","PHILIPS","","452212702532","0","1"
"NANOTEC MOTOR 4H5618C0408 F8.5154.5320.1. AGFA","NANOTEC MOTOR 4H5618C0408 F8.5154.5320.1. AGFA","AGFA","","4H5618C0408 ","0","1"
"451217800876 ASSY 451211326521. ALLURA 15","451217800876 ASSY 451211326521. ALLURA 15","PHILIPS","","451217800876","0","1"
" ASTEC power supply, model MP1-3C-3G-1G-00, with ASTEC part number 73-690-0550 and serial number 0706E166."," ASTEC power supply, model MP1-3C-3G-1G-00, with ASTEC part number 73-690-0550 and serial number 0706E166.","","","MP1-3C-3G-1G-00","0","1"
"P9144XQ REF2. GE","P9144XQ REF2. GE","GE","","P9144XQ","0","1"
" Agilent circuit board likely from medical equipment featuring an ALTERA FLEX EPF10K4CRC208-3 DAB230001 chip and part number RCOM 47471801010/N."," Agilent circuit board likely from medical equipment featuring an ALTERA FLEX EPF10K4CRC208-3 DAB230001 chip and part number RCOM 47471801010/N.","","","47471801010","0","1"
". BR CONSOLE",". BR CONSOLE","PHILIPS","","","0","1"
"NOV 2013 10502509 PIXIUM 2630S DETECTOR . ARTIS ONE","NOV 2013 10502509 PIXIUM 2630S DETECTOR . ARTIS ONE","SIEMENS","","10502509","0","1"
"8949505. SIEMENS","8949505. SIEMENS","SIEMENS","","8949505","0","1"
"452210821574 452210530893. PHILIPS H5000","452210821574 452210530893. PHILIPS H5000","PHILIPS ","","452210821574","0","1"
"SEAGATE ST3320418A8 98L14C-302 FIRMWARE CC38. APERTO","SEAGATE ST3320418A8 98L14C-302 FIRMWARE CC38. APERTO","HITACHI","","ST3320418A8 ","0","1"
"4753112 TALES D6. SYMPHONY","4753112 TALES D6. SYMPHONY","SIEMENS","","4753112","0","1"
"453567945931 GCCB/CPM. GEMINI TF","453567945931 GCCB/CPM. GEMINI TF","PHILIPS","","453567945931","0","1"
"This is a Toshiba starter component, model ST-7008, manufactured in November 2009, with part number MZF-ST04.. TOSHIBA","This is a Toshiba starter component, model ST-7008, manufactured in November 2009, with part number MZF-ST04.. TOSHIBA","TOSHIBA","","ST-7008","0","1"
